,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,param_random_state,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score
14,3.003957986831665,0.0,0.005352973937988281,0.0,0.0001,"(8,)",10000,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'max_iter': 10000, 'random_state': 2}",0.32666666666666666,0.32666666666666666,0.0,761,0.32479166666666665,0.32479166666666665,0.0
769,0.15872406959533691,0.0,0.001947164535522461,0.0,10000.0,"(8,)",10,1,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 1}",0.3133333333333333,0.3133333333333333,0.0,764,0.32354166666666667,0.32354166666666667,0.0
198,2.7030868530273438,0.0,0.010108232498168945,0.0,0.01,"(8,)",100,2,"{'alpha': 0.01, 'hidden_layer_sizes': (8,), 'max_iter': 100, 'random_state': 2}",0.305,0.305,0.0,765,0.34,0.34,0.0
406,3.7469000816345215,0.0,0.004055976867675781,0.0,1.0,"(16,)",100,2,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 2}",0.29833333333333334,0.29833333333333334,0.0,766,0.31166666666666665,0.31166666666666665,0.0
22,3.7616448402404785,0.0,0.0034492015838623047,0.0,0.0001,"(16,)",100,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 2}",0.29333333333333333,0.29333333333333333,0.0,767,0.3025,0.3025,0.0
26,3.8856070041656494,0.0,0.0017971992492675781,0.0,0.0001,"(16,)",1000,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 2}",0.29333333333333333,0.29333333333333333,0.0,767,0.3025,0.3025,0.0
30,3.3300461769104004,0.0,0.002897024154663086,0.0,0.0001,"(16,)",10000,2,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 2}",0.29333333333333333,0.29333333333333333,0.0,767,0.3025,0.3025,0.0
800,0.37833309173583984,0.0,0.0020868778228759766,0.0,10000.0,"(32,)",10,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (32,), 'max_iter': 10, 'random_state': 0}",0.2916666666666667,0.2916666666666667,0.0,770,0.2914583333333333,0.2914583333333333,0.0
784,0.21058893203735352,0.0,0.0043680667877197266,0.0,10000.0,"(16,)",10,0,"{'alpha': 10000.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 0}",0.28833333333333333,0.28833333333333333,0.0,771,0.2783333333333333,0.2783333333333333,0.0
674,0.3059079647064209,0.0,0.005454063415527344,0.0,1000.0,"(8,)",10,2,"{'alpha': 1000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 2}",0.2783333333333333,0.2783333333333333,0.0,772,0.293125,0.293125,0.0
770,0.17331385612487793,0.0,0.00402522087097168,0.0,10000.0,"(8,)",10,2,"{'alpha': 10000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 2}",0.2683333333333333,0.2683333333333333,0.0,773,0.27291666666666664,0.27291666666666664,0.0
499,0.4804410934448242,0.0,0.004347801208496094,0.0,10.0,"(16,)",10,3,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25833333333333336,0.25833333333333336,0.0,774,0.4052083333333334,0.4052083333333334,0.0
403,0.24230384826660156,0.0,0.004686117172241211,0.0,1.0,"(16,)",10,3,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.4052083333333334,0.4052083333333334,0.0
19,0.416856050491333,0.0,0.0019469261169433594,0.0,0.0001,"(16,)",10,3,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.4052083333333334,0.4052083333333334,0.0
595,0.3491692543029785,0.0,0.009462833404541016,0.0,100.0,"(16,)",10,3,"{'alpha': 100.0, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.40583333333333343,0.40583333333333343,0.0
211,0.21667194366455078,0.0,0.007910013198852539,0.0,0.01,"(16,)",10,3,"{'alpha': 0.01, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.4052083333333334,0.4052083333333334,0.0
307,0.21212387084960938,0.0,0.004729270935058594,0.0,0.1,"(16,)",10,3,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.4052083333333334,0.4052083333333334,0.0
115,0.5562241077423096,0.0,0.004138946533203125,0.0,0.001,"(16,)",10,3,"{'alpha': 0.001, 'hidden_layer_sizes': (16,), 'max_iter': 10, 'random_state': 3}",0.25666666666666665,0.25666666666666665,0.0,775,0.4052083333333334,0.4052083333333334,0.0
508,2.1851210594177246,0.0,0.0022110939025878906,0.0,10.0,"(16,)",10000,0,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.255,0.255,0.0,781,0.2597916666666667,0.2597916666666667,0.0
504,2.4801690578460693,0.0,0.006073713302612305,0.0,10.0,"(16,)",1000,0,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.255,0.255,0.0,781,0.2597916666666667,0.2597916666666667,0.0
500,5.464687824249268,0.0,0.12047314643859863,0.0,10.0,"(16,)",100,0,"{'alpha': 10.0, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.255,0.255,0.0,781,0.2597916666666667,0.2597916666666667,0.0
673,0.13794517517089844,0.0,0.006058931350708008,0.0,1000.0,"(8,)",10,1,"{'alpha': 1000.0, 'hidden_layer_sizes': (8,), 'max_iter': 10, 'random_state': 1}",0.25333333333333335,0.25333333333333335,0.0,784,0.25,0.25,0.0
316,1.8868491649627686,0.0,0.001979827880859375,0.0,0.1,"(16,)",10000,0,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'max_iter': 10000, 'random_state': 0}",0.25,0.25,0.0,785,0.25583333333333336,0.25583333333333336,0.0
408,1.7276341915130615,0.0,0.004270792007446289,0.0,1.0,"(16,)",1000,0,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.25,0.25,0.0,785,0.25333333333333335,0.25333333333333335,0.0
24,2.0248680114746094,0.0,0.0019130706787109375,0.0,0.0001,"(16,)",1000,0,"{'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.25,0.25,0.0,785,0.2554166666666667,0.2554166666666667,0.0
404,1.5903878211975098,0.0,0.003506898880004883,0.0,1.0,"(16,)",100,0,"{'alpha': 1.0, 'hidden_layer_sizes': (16,), 'max_iter': 100, 'random_state': 0}",0.25,0.25,0.0,785,0.25333333333333335,0.25333333333333335,0.0
312,1.6918492317199707,0.0,0.003022909164428711,0.0,0.1,"(16,)",1000,0,"{'alpha': 0.1, 'hidden_layer_sizes': (16,), 'max_iter': 1000, 'random_state': 0}",0.25,0.25,0.0,785,0.25583333333333336,0.25583333333333336,0.0
